0,0,AverageX_Test,AverageY_Test
,,2285.503403,967.7579533
,,2285.777185,967.6826861
,,2286.085211,967.7018241
,,2286.361774,967.7662455
,,2286.406559,967.7264413
,,2286.63896,967.7078789
,,2286.824904,967.7125958
,,2286.916304,967.5593238
,,2287.229653,967.636385
,,2287.482365,967.5548118
,,2287.754387,967.6168738
,,2287.776732,967.5141045
,,2288.053722,967.4278716
,,2288.296408,967.3839424
,,2288.561352,967.3333323
,,2288.618216,967.3753998
,,2288.935666,967.0395009
,,2289.152444,967.1378529
,,2289.279489,966.9314434
,,2289.599917,966.8314558
,,2289.850918,966.6779489
,,2290.094889,966.504262
,,2290.410363,966.3848882
,,2290.564874,966.2223117
,,2290.624643,966.0336478
,,2290.764014,965.8646921
,,2291.07552,965.6571844
,,2291.390635,965.4269079
,,2291.490562,965.2270946
,,2291.632898,964.9460646
,,2291.902685,964.7558615
,,2292.239057,964.4876972
,,2292.517916,964.2461775
,,2292.615163,963.9968007
,,2292.838789,963.6964286
,,2292.914065,963.4109832
,,2293.019335,963.1367712
,,2293.177202,962.8723043
,,2293.460027,962.5785114
,,2293.802464,962.3251477
,,2293.906418,962.0663134
,,2294.19946,961.7847403
,,2294.172978,961.459531
,,2294.513777,961.2103464
,,2294.548234,960.9008605
,,2294.619025,960.5879464
,,2294.647228,960.2773177
,,2294.903848,960.009324
,,2295.01331,959.7451448
,,2295.338379,959.4634958
,,2295.641082,959.1969439
,,2295.65234,958.9094387
,,2295.900326,958.6134694
,,2296.04475,958.3362785
,,2296.186601,958.0556738
,,2296.551375,957.8067904
,,2296.782611,957.5507049
,,2297.108513,957.3343688
,,2297.401317,957.1004029
,,2297.715333,956.8607659
