0,0,AverageX_Test,AverageY_Test
0,0,2285.494268,967.7240396
0,0,2285.769537,967.7412388
,,2285.996385,967.6882059
,,2286.216689,967.6898238
,,2286.429283,967.7502312
,,2286.707865,967.6353063
,,2286.818305,967.7286694
,,2287.131265,967.6776416
,,2287.285418,967.5484846
,,2287.518233,967.4807358
,,2287.819454,967.6025083
,,2288.008953,967.4565937
,,2288.292982,967.6789948
,,2288.466242,967.5108061
,,2288.707828,967.5097791
,,2288.985126,967.3255252
,,2289.1775,967.3770692
,,2289.477957,967.3351
,,2289.48905,967.4071925
,,2289.806423,967.2933942
,,2289.882011,967.14499
,,2290.185735,967.1720377
,,2290.273313,967.0251259
,,2290.583028,966.9418773
,,2290.728007,966.7587081
,,2290.966212,966.585358
,,2291.203977,966.4732752
,,2291.45215,966.3476422
,,2291.500798,966.1650546
,,2291.837225,965.9945854
,,2291.908798,965.8099501
,,2292.21701,965.6408379
,,2292.294391,965.4322422
,,2292.55892,965.2481048
,,2292.749004,965.0369681
,,2293.031637,964.8617827
,,2293.238949,964.6195623
,,2293.530809,964.4581224
,,2293.555666,964.1766666
,,2293.879963,963.9646641
,,2294.056373,963.711416
,,2294.139065,963.4360567
,,2294.471581,963.1958376
,,2294.610183,962.9605932
,,2294.872738,962.7112439
,,2294.96305,962.4567979
,,2295.27672,962.2119727
,,2295.327949,961.9160237
,,2295.668754,961.6670511
,,2295.74422,961.399471
,,2295.987904,961.1354706
,,2296.26676,960.8886308
,,2296.538006,960.5972577
,,2296.710176,960.3658658
,,2297.070842,960.1084492
,,2297.122705,959.7907529
,,2297.463085,959.5625889
,,2297.445449,959.1996734
,,2297.813611,958.9494616
,,2297.932492,958.6484243
,,2298.174042,958.3461011
,,2298.306692,958.1181665
,,2298.59419,957.8326612
,,2298.820068,957.4831049
,,2298.906687,957.1990187
,,2299.186486,956.9450245
,,2299.366029,956.6540571
,,2299.619894,956.40376
,,2299.807242,956.1360805
,,2300.096245,955.8580546
,,2300.194733,955.5371433
,,2300.519271,955.2700964
,,2300.61844,954.9662911
,,2300.979709,954.7900692
,,2301.208598,954.4687798
,,2301.457343,954.249085
