AverageX_Test,AverageY_Test,,
2285.452315,968.7376295,,
2285.61531,968.7081108,,
2285.902559,968.8393671,,
2286.034065,968.9350309,,
2286.341766,968.9643187,,
2286.424488,969.1263374,,
2286.692079,968.9517623,,
2286.755897,969.1708892,,
2287.08541,969.0839213,,
2287.232243,969.0319456,,
2287.455124,969.1942615,,
2287.721437,969.098046,,
2287.859639,969.3989323,,
2288.179013,969.3590546,,
2288.189859,969.3777473,,
2288.441803,969.5385431,,
2288.531668,969.6118772,,
2288.890846,969.8427404,,
2289.061162,969.8191752,,
2289.280365,969.8965151,,
2289.43346,969.9178969,,
2289.666075,970.1233308,,
2289.864842,970.2395135,,
2289.981517,970.2839998,,
2290.234163,970.4641261,,
2290.331521,970.6903342,,
2290.595566,970.8812714,,
2290.660415,971.0084541,,
2290.898286,971.226795,,
2291.194507,971.0750776,,
2291.565651,970.920491,,
2291.914723,970.7220122,,
2292.024688,970.4271599,,
2292.079957,970.5871208,,
2292.454779,970.583285,,
2292.774954,970.8719419,,
2292.966267,971.0618689,,
2293.328063,971.1533613,,
2293.487929,971.4012728,,
2293.652781,971.2882475,,
2293.671485,971.3299444,,
2293.783725,971.3956827,,
2293.904793,971.377222,,
2293.981622,971.2507877,,
2294.288284,971.4865758,,
2294.413519,971.5114221,,
2294.772727,971.6633405,,
2294.867526,971.7154191,,
2295.021246,971.9078633,,
2295.304952,972.0618677,,
2295.31469,972.0771676,,
2295.69865,972.3015585,,
2295.959147,972.4251591,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
