AverageX_Test,AverageY_Test
2285.707411,968.7675971
2286.014504,968.7393281
2286.200654,968.7199215
2286.274865,968.75784
2286.415115,968.8578713
2286.666631,968.8553702
2286.921165,968.8823972
2287.042803,968.8902313
2287.184029,968.9963306
2287.406881,969.0469326
2287.672678,969.1394832
2287.792193,969.1328036
2288.053195,969.2338072
2288.359829,969.3980677
2288.610082,969.5696816
2288.861789,969.8098355
2289.065271,969.9089851
2289.087801,970.0290192
2289.15739,969.882488
2289.554009,969.818329
2289.676566,969.6533487
2290.061024,969.5214632
2290.200539,969.3209651
2290.337996,969.2949897
2290.570502,969.3361576
2290.950698,969.6107501
2290.974863,969.5390665
2291.197636,969.5781822
2291.443822,969.7199628
2291.762091,969.7169139
2291.870796,969.9466985
2292.08006,970.0129537
2292.177341,970.2286649
2292.34872,970.496387
2292.437285,970.6528256
2292.832652,970.6166825
2293.111191,970.826145
2293.479575,970.9713821
2293.700846,971.0507571
2293.944009,971.1888653
2294.260748,971.5105676
2294.549286,971.4712171
2294.632163,971.6392641
2294.905792,971.825065
2295.208987,971.8333195
2295.466935,971.9722
2295.625457,972.1646643
2295.62839,972.0625025
2295.912075,972.0670577
2296.095702,972.188497
2296.437102,972.1429521
2296.802813,972.5075489
2297.02005,972.7600615
2297.364829,973.1128306
2297.425798,973.1167579
2297.512656,973.0553174
2297.71547,972.9773421
2298.005648,973.3239068
2298.180088,973.4753214
2298.505746,973.4399188
2298.600557,973.6274594
2298.812299,973.765668
2299.185968,973.8216695
,
,
,
,
,
,
,
,
