PositionX_Test,PositionY_Test,AverageX_Test,AverageY_Test,Delta1_test,Delta2_test,XPos1Prime_Test,YPos1Prime_Test,Xpos2Prime_Test,YPos2Prime_Test,,Slope,Median,Difference,,,,,,,AverageX_Test,AverageY_Test
2285.727959,968.4721015,2285.452315,968.7376295,0.022415168,0.137814819,2285.465769,969.0819378,2285.438861,968.3933213,,,,,,,,2285.61531,968.7081108,,2285.452315,968.7376295
2286.024213,968.4654817,2285.61531,968.7081108,0.007428291,0.118196321,2285.628764,969.052419,2285.601856,968.3638025,,-0.181101874,,,,,,2285.902559,968.8393671,,2285.61531,968.7081108
2286.170805,968.4652413,2285.902559,968.8393671,0.027286483,0.137062644,2285.916013,969.1836754,2285.889105,968.4950589,,0.225961034,,,,,,2286.034065,968.9350309,,2285.902559,968.8393671
2286.469186,968.4753526,2286.034065,968.9350309,0.041012289,0.160777322,2286.047519,969.2793392,2286.020611,968.5907227,,0.339323421,,,,,,2286.341766,968.9643187,,2286.034065,968.9350309
2286.550824,968.4927818,2286.341766,968.9643187,0.03561601,0.154071636,2286.35522,969.308627,2286.328312,968.6200105,,0.25486418,,,,,,2286.424488,969.1263374,,2286.341766,968.9643187
2286.805617,968.5169504,2286.424488,969.1263374,0.097542069,0.170630109,2286.437942,969.4706456,2286.411034,968.7820291,,0.399834083,0.25486418,,,,,2286.692079,968.9517623,,2286.424488,969.1263374
2286.885965,968.5507899,2286.692079,968.9517623,0.023273193,0.135620013,2286.705533,969.2960705,2286.678625,968.607454,,0.172720615,0.25486418,0,,,,2286.755897,969.1708892,,2286.692079,968.9517623
2287.184968,968.5937707,2286.755897,969.1708892,0.082954152,0.176257306,2286.769351,969.5151975,2286.742443,968.826581,,0.33236091,0.33236091,0.07749673,,,,2287.08541,969.0839213,,2286.755897,969.1708892
2287.340334,968.6424844,2287.08541,969.0839213,0.059144536,0.130399217,2287.098864,969.4282295,2287.071956,968.739613,,0.212046329,0.25486418,0,,,,2287.232243,969.0319456,,2287.08541,969.0839213
2287.54532,968.6978841,2287.232243,969.0319456,0.026282586,0.126329545,2287.245697,969.3762538,2287.218789,968.6876373,,0.165352812,0.212046329,-0.042817851,,,,2287.455124,969.1942615,,2287.232243,969.0319456
2287.834464,968.7588742,2287.455124,969.1942615,0.081410911,0.125364291,2287.468578,969.5385698,2287.44167,968.8499533,,0.22799578,0.212046329,-0.042817851,,,,2287.721437,969.098046,,2287.455124,969.1942615
2287.994156,968.8293777,2287.721437,969.098046,0.015418796,0.124159567,2287.734891,969.4423543,2287.707983,968.7537378,,0.158835223,0.212046329,-0.042817851,,,,2287.859639,969.3989323,,2287.721437,969.098046
2288.294102,968.9051037,2287.859639,969.3989323,0.074673405,0.188305188,2287.873093,969.7432405,2287.846185,969.054624,,0.274704527,0.212046329,-0.042817851,,,,2288.179013,969.3590546,,2287.859639,969.3989323
2288.296545,968.9886221,2288.179013,969.3590546,0.059118917,0.148333997,2288.192467,969.7033628,2288.165559,969.0147463,,0.227903897,0.227903897,-0.026960283,,,,2288.189859,969.3777473,,2288.179013,969.3590546
2288.561808,969.0776214,2288.189859,969.3777473,0.064084842,0.126968451,2288.203313,969.7220555,2288.176404,969.033439,,0.233829228,0.22799578,-0.0268684,,,,2288.441803,969.5385431,,2288.189859,969.3777473
2288.680703,969.1748297,2288.441803,969.5385431,0.079742387,0.158305771,2288.455257,969.8828514,2288.428349,969.1942349,,0.267909956,0.233829228,-0.021034952,,,,2288.531668,969.6118772,,2288.441803,969.5385431
