PositionX_Train,PositionY_Train,Delta1_Train,Delta2_Train,XPosOnePrime_Train,YPosOnePrime_Train,XPosTwoPrime_Train,YPosTwoPrime_Train,AverageX_Train,AverageY_Train
2285.727289,968.4721149,0.002741759,0.065088918,2285.528957,968.9040128,2285.502049,968.2153963,2285.515503,968.5597046
2286.021524,968.4652953,0.017181922,0.057048724,2285.683259,968.9438622,2285.656351,968.2552457,2285.669805,968.5995539
2286.082425,968.4687983,0.011204189,0.079495213,2285.959632,969.0257044,2285.932724,968.3370879,2285.946178,968.6813962
2286.373508,968.4781743,0.033997576,0.053303041,2286.046571,969.0281902,2286.019663,968.3395737,2286.033117,968.683882
2286.469124,968.4953485,0.02970986,0.088893659,2286.309306,969.1440645,2286.282398,968.455448,2286.295852,968.7997563
2286.728934,968.5196869,0.041919968,0.07089908,2286.421539,969.1454108,2286.394631,968.4567943,2286.408085,968.8011026
2286.901907,968.5517393,0.040173746,0.06637272,2286.68499,969.1631498,2286.658082,968.4745333,2286.671536,968.8188416
2287.192674,968.5938533,0.035330312,0.092609299,2286.836055,969.2436959,2286.809147,968.5550794,2286.822601,968.8993876
2287.223243,968.6459038,0.033327082,0.058142825,2287.150888,969.1876553,2287.12398,968.4990388,2287.137434,968.843347
2287.523243,968.7055111,0.037660378,0.062679543,2287.175659,969.2366227,2287.148751,968.5480062,2287.162205,968.8923145
2287.6596,968.7707452,0.016697399,0.089993504,2287.447823,969.3073194,2287.420915,968.6187029,2287.434369,968.9630112
2287.935108,968.8443116,0.044658059,0.071554259,2287.602335,969.3794855,2287.575427,968.690869,2287.588881,969.0351772
2288.161063,968.9235729,0.008706346,0.074959611,2287.858868,969.3633765,2287.83196,968.67476,2287.845414,969.0190683
2288.244604,969.0085504,0.004634144,0.095176952,2288.065856,969.4754989,2288.038948,968.7868824,2288.052402,969.1311906
2288.544452,969.0998181,0.018201021,0.093921073,2288.149682,969.5709072,2288.122774,968.8822907,2288.136228,969.226599
2288.583956,969.1996947,0.049715869,0.09681865,2288.457682,969.7309105,2288.430774,969.042294,2288.444228,969.3866022
2288.863092,969.3084754,0.014930572,0.07422388,2288.486677,969.6997396,2288.459769,969.0111231,2288.473223,969.3554313
2289.041237,969.4261359,0.03226079,0.086031526,2288.761041,969.8653942,2288.734133,969.1767777,2288.747587,969.5210859
2289.32044,969.5500724,0.07091408,0.054243018,2288.968417,969.9891085,2288.941509,969.300492,2288.954963,969.6448003
2289.350147,969.6801538,0.090032564,0.012041786,2289.272682,970.0795452,2289.245774,969.3909287,2289.259228,969.7352369
2289.640406,969.8159432,0.073957764,0.067340987,2289.255644,970.2555699,2289.228736,969.5669534,2289.24219,969.9112616
2289.71018,969.9591102,0.063665678,0.004004693,2289.563064,970.2977802,2289.536156,969.6091637,2289.54961,969.9534719
2289.987041,970.1087219,0.084962415,0.024105435,2289.625488,970.490574,2289.59858,969.8019575,2289.612034,970.1462658
2290.211028,970.2634019,0.088147333,0.031818897,2289.891685,970.6615684,2289.864777,969.9729519,2289.878231,970.3172602
2290.460025,970.4261767,0.096679434,0.036659023,2290.109399,970.8357141,2290.082491,970.1470976,2290.095945,970.4914058
2290.729236,970.5935365,0.050229468,0.019891293,2290.323135,970.9458456,2290.296227,970.2572291,2290.309681,970.6015374
2290.790153,970.76658,0.05065348,0.018847468,2290.581167,971.1269108,2290.554259,970.4382943,2290.567713,970.7826025
2291.088866,970.9450279,0.07599734,0.02185988,2290.646589,971.32303,2290.619681,970.6344135,2290.633135,970.9787218
2291.092341,971.1303534,0.089600741,0.042457809,2290.935281,971.5448102,2290.908373,970.8561937,2290.921827,971.200502
2291.390584,971.3225585,0.07035461,0.04477443,2290.907816,971.7160043,2290.880908,971.0273878,2290.894362,971.3716961
2291.39215,971.5205594,0.066588862,0.041123301,2291.191436,971.91884,2291.164528,971.2302235,2291.177982,971.5745317
2291.687983,971.7240429,0.083777547,0.043757692,2291.190662,972.1257054,2291.163754,971.4370889,2291.177208,971.7813971
2291.70166,971.9342877,0.060306046,0.01145888,2291.46749,972.3059813,2291.440582,971.6173648,2291.454036,971.961673
2291.985048,972.151366,0.097919816,0.020262723,2291.494606,972.5396434,2291.467698,971.8510269,2291.481152,972.1953352
2291.985988,972.372851,0.099936677,0.055813017,2291.747431,972.8034847,2291.720523,972.1148682,2291.733977,972.4591765
2292.283721,972.5993884,0.08618669,0.087769476,2291.700459,973.0454585,2291.673551,972.356842,2291.687005,972.7011503
2292.366194,972.8307145,0.089733751,0.059305739,2292.001235,973.2662578,2291.974327,972.5776413,2291.987781,972.9219496
2292.663531,973.0676568,0.088757356,0.063047455,2292.062697,973.5044056,2292.035789,972.8157891,2292.049243,973.1600974
2292.839355,973.3080187,0.079185934,0.096477369,2292.312826,973.7874828,2292.285918,973.0988663,2292.299372,973.4431745
2293.031459,973.5524558,0.055737772,0.086219304,2292.450427,974.0253624,2292.423519,973.3367459,2292.436973,973.6810541
2293.233358,973.8019695,0.088265454,0.071426288,2292.668525,974.2745495,2292.641617,973.585933,2292.655071,973.9302413
2293.499793,974.056679,0.096181774,0.075414069,2292.85784,974.5415519,2292.830932,973.8529354,2292.844386,974.1972437
2293.616811,974.3158407,0.051226219,0.090901165,2293.040691,974.825375,2293.013783,974.1367585,2293.027237,974.4810667
2293.789587,974.5776371,0.062693833,0.051974633,2293.178524,975.0555811,2293.151616,974.3669646,2293.16507,974.7112729
2294.007459,974.8437007,0.086423817,0.08476696,2293.335329,975.3619654,2293.308421,974.6733489,2293.321875,975.0176571
2294.282439,975.114377,0.078039801,0.066389999,2293.53619,975.6245349,2293.509282,974.9359184,2293.522736,975.2802267
2294.492577,975.387716,0.06781228,0.08343464,2293.762455,975.9326371,2293.735547,975.2440206,2293.749001,975.5883288
2294.732401,975.6646074,0.089934263,0.065106244,2293.996567,976.1994895,2293.969659,975.510873,2293.983113,975.8551812
2295.012317,975.9434957,0.063987709,0.093876279,2294.152741,976.5274902,2294.125833,975.8388737,2294.139287,976.183182
2295.204001,976.2258887,0.090696069,0.083307789,2294.458229,976.8109495,2294.431321,976.122333,2294.444775,976.4666412
2295.490006,976.5103145,0.064682008,0.061784011,2294.609824,977.0874841,2294.582916,976.3988676,2294.59637,976.7431758
2295.621845,976.7974743,0.087655315,0.079242155,2294.890873,977.4073895,2294.863965,976.718773,2294.877419,977.0630812
2295.88417,977.0869774,0.052617999,0.08784062,2294.935915,977.7232083,2294.909007,977.0345918,2294.922461,977.3789
2296.094555,977.3788586,0.066747867,0.051541609,2295.235969,977.9843257,2295.209061,977.2957092,2295.222515,977.6400175
2296.339131,977.6723586,0.065702252,0.079716183,2295.390092,978.3266207,2295.363184,977.6380042,2295.376638,977.9823125
2296.544554,977.9675789,0.063675661,0.055257567,2295.635746,978.6078325,2295.608838,977.919216,2295.622292,978.2635242
2296.773118,978.2641111,0.073216295,0.091745568,2295.790334,978.9615082,2295.763426,978.2728917,2295.77688,978.6172
2296.825279,978.5614206,0.081787552,0.091054577,2296.010474,979.2706094,2295.983566,978.5819929,2295.99702,978.9263011
2297.125255,978.8596257,0.073724359,0.050748711,2296.075382,979.5210159,2296.048474,978.8323994,2296.061928,979.1767077
2297.177885,979.158686,0.085032008,0.097130209,2296.312042,979.8986972,2296.285134,979.2100807,2296.298588,979.554389
2297.457549,979.4581226,0.083048077,0.064055133,2296.381293,980.1567083,2296.354385,979.4680918,2296.367839,979.8124001
2297.551511,979.7579595,0.070492609,0.065833657,2296.611279,980.4849639,2296.584371,979.7963474,2296.597825,980.1406556
2297.765567,980.057932,0.055074061,0.096466495,2296.60734,980.8424254,2296.580432,980.1538089,2296.593886,980.4981171
2298.023303,980.3579188,0.080032619,0.083021633,2296.86518,981.1263557,2296.838272,980.4377392,2296.851726,980.7820475
2298.306096,980.6576979,0.080253935,0.062903192,2297.129758,981.4155432,2297.10285,980.7269267,2297.116304,981.071235
2298.466407,980.9569697,0.079453481,0.088277231,2297.348062,981.7743555,2297.321154,981.085739,2297.334608,981.4300473
2298.680897,981.2554475,0.056057519,0.058764501,2297.481709,982.0552481,2297.454801,981.3666316,2297.468255,981.7109399
2298.958339,981.5527063,0.097660383,0.063697411,2297.753823,982.3493036,2297.726915,981.6606871,2297.740369,982.0049954
2299.162924,981.8490439,0.054915958,0.081723706,2297.884502,982.7245476,2297.857594,982.0359311,2297.871048,982.3802393
2299.421849,982.1437753,0.050517366,0.087846166,2298.043865,983.0494776,2298.016956,982.3608611,2298.030411,982.7051694
2299.67393,982.4373752,0.087011593,0.064829243,2298.401554,983.2990467,2298.374646,982.6104302,2298.3881,982.9547384
2299.700822,982.7297523,0.064452831,0.055849445,2298.594665,983.6135661,2298.567757,982.9249496,2298.581211,983.2692578
2300.000822,983.0202966,0.08610153,0.056719686,2298.647874,983.8915806,2298.620966,983.2029641,2298.63442,983.5472724
2300.028388,983.3088138,0.067835898,0.080186808,2298.837881,984.2587209,2298.810973,983.5701044,2298.824427,983.9144127
