timestep,PositionX,PositionY,geo pos x,geo pos y,Speed,Lane ID,device one coord,device two coord,signalDistance,A1 to P,A2 to P,Delta 1,Delta two,Distance One Prime,Distance 2 Prime,Angle Predict One,Angle Predict Two,X Pos One Prime,Y Pos One Prime,geo Coord X1,geo Coord y1,X Pos 2 Prime,Y Pos 2 Prime,geo Coord X2,geo Coord Y2,AverageX,Average Y,Ave X Geo,Ave Y geo
0.1,2227.674611328242,946.7936280459753,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2227.6974414085503,946.8028447123166,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,2227.721263342949,946.8124617972323,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,2227.7487912919937,946.8235750267077,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2227.7738413982133,946.833687933352,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,2227.7983441725446,946.8435798782072,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,2227.825882498141,946.8546972967704,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,2227.8495335037373,946.864245376509,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,2227.8759389977913,946.8749054628944,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2227.900690017501,946.8848976261803,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,2227.9243306771714,946.8944415291946,0,0,0.3,322361922#0_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
